@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute outputs-1 {0,1,2,3,4,5}
@attribute outputs-2 {0,1,2,3,4,5}
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
36,'2018/02/15 14:29:06:537',3,0,0,-272,0,992,-292.533325,-13.066667,980.266663,16,1,?,?,?,?
37,'2018/02/15 14:29:06:640',3,0,0,-256,-16,976,-279.733337,-9.333333,984.799988,16,1,?,?,?,?
38,'2018/02/15 14:29:06:742',3,0,0,-272,16,960,-273.866669,1.866667,989.333313,16,1,?,?,?,?
39,'2018/02/15 14:29:06:846',3,0,0,-272,0,976,-272.533325,3.466667,989.866638,16,1,?,?,?,?
40,'2018/02/15 14:29:06:951',3,0,0,-288,0,960,-270.399994,2.4,984.266663,16,1,?,?,?,?
41,'2018/02/15 14:29:07:051',3,0,0,-288,0,1008,-269.600006,0.533333,978.93335,32,1,?,?,?,?
42,'2018/02/15 14:29:07:152',3,0,0,-256,16,992,-272,4.266667,985.06665,32,1,?,?,?,?
43,'2018/02/15 14:29:07:257',3,0,0,-288,32,1008,-270.666656,12.266666,986.400024,32,1,?,?,?,?
44,'2018/02/15 14:29:07:358',3,0,0,-256,32,976,-269.866669,19.466667,988.266663,32,1,?,?,?,?
45,'2018/02/15 14:29:07:462',3,0,0,-240,0,992,-267.733337,28,991.200012,32,1,?,?,?,?
46,'2018/02/15 14:29:07:566',3,0,0,-256,32,992,-263.466675,26.666666,993.06665,32,1,?,?,?,?
47,'2018/02/15 14:29:07:671',3,0,0,-272,32,976,-260,28.799999,988.799988,16,1,?,?,?,?
48,'2018/02/15 14:29:07:774',3,0,0,-240,16,992,-258.933319,28,987.466675,32,1,?,?,?,?
49,'2018/02/15 14:29:07:875',3,0,0,-288,32,992,-264.799988,32.799999,984.799988,32,1,?,?,?,?
59,'2018/02/15 14:29:12:672',5,1,0,-288,-48,976,-286.933319,-74.133331,969.06665,48,2,?,?,?,?
60,'2018/02/15 14:29:12:774',5,1,0,-272,-48,976,-288.266663,-60.533333,978.400024,16,2,?,?,?,?
61,'2018/02/15 14:29:12:875',5,1,0,-272,-48,992,-283.200012,-55.200001,980.799988,16,2,?,?,?,?
62,'2018/02/15 14:29:12:980',5,1,0,-288,-48,976,-279.466675,-51.200001,981.599976,16,2,?,?,?,?
63,'2018/02/15 14:29:13:083',5,1,0,-288,-16,976,-276.533325,-46.933334,980,16,2,?,?,?,?
64,'2018/02/15 14:29:13:184',5,1,0,-256,-48,976,-276.533325,-45.066666,981.599976,16,2,?,?,?,?
65,'2018/02/15 14:29:13:285',5,1,0,-288,-32,992,-277.866669,-44.799999,984,16,2,?,?,?,?
66,'2018/02/15 14:29:13:390',5,1,0,-256,-64,976,-275.733337,-42.933334,985.599976,16,2,?,?,?,?
67,'2018/02/15 14:29:13:492',5,1,0,-272,-48,976,-271.466675,-40.266666,988.266663,16,2,?,?,?,?
68,'2018/02/15 14:29:13:597',5,1,0,-272,-32,992,-270.933319,-38.666668,989.06665,16,2,?,?,?,?
69,'2018/02/15 14:29:13:700',5,1,0,-272,-32,992,-267.733337,-37.866665,988,16,2,?,?,?,?
70,'2018/02/15 14:29:13:800',5,1,0,-272,-32,976,-267.733337,-37.066666,989.866638,16,2,?,?,?,?
71,'2018/02/15 14:29:13:901',5,1,0,-272,-16,976,-268,-35.733334,987.466675,16,2,?,?,?,?
72,'2018/02/15 14:29:14:001',5,1,0,-256,-32,976,-267.466675,-32.799999,987.733337,16,2,?,?,?,?
73,'2018/02/15 14:29:14:101',5,1,0,-272,-32,992,-266.133331,-33.866665,986.400024,16,2,?,?,?,?
74,'2018/02/15 14:29:14:201',5,1,0,-272,-16,1008,-268.266663,-29.333334,985.866638,16,2,?,?,?,?
75,'2018/02/15 14:29:14:306',5,1,0,-256,-32,992,-266.399994,-26.133333,986.93335,16,2,?,?,?,?
76,'2018/02/15 14:29:14:407',5,1,0,-256,-32,976,-267.200012,-24.266666,987.466675,16,2,?,?,?,?
77,'2018/02/15 14:31:02:934',6,0,0,-176,-144,1008,-168.800003,-137.866669,1002.133362,32,?,?,?,?,?
78,'2018/02/15 14:31:03:039',6,0,0,-176,-128,1008,-169.600006,-135.733337,1004,32,?,?,?,?,?
79,'2018/02/15 14:31:03:143',6,0,0,-176,-128,1008,-168.266663,-134.666672,1003.466675,32,?,?,?,?,?
80,'2018/02/15 14:31:03:248',6,0,0,-176,-112,1024,-167.199997,-130.933334,1004.799988,16,?,?,?,?,?
81,'2018/02/15 14:31:03:352',6,0,0,-176,-112,1008,-167.733337,-123.73333,1007.200012,16,?,?,?,?,?
82,'2018/02/15 14:31:03:457',6,0,0,-160,-96,1008,-169.600006,-116.800003,1008.266663,16,?,?,?,?,?
83,'2018/02/15 14:31:03:561',6,0,0,-176,-112,1008,-171.46666,-110.666664,1006.400024,16,?,?,?,?,?
84,'2018/02/15 14:31:03:667',6,0,0,-160,-96,992,-173.866669,-109.066666,1004.266663,32,?,?,?,?,?
85,'2018/02/15 14:31:06:070',7,0,1,-208,-144,992,-214.133331,-128.266663,990.666687,64,?,?,?,?,?
86,'2018/02/15 14:31:06:174',7,0,1,-208,-128,992,-214.133331,-126.400002,991.733337,32,?,?,?,?,?
87,'2018/02/15 14:31:06:278',7,0,1,-224,-112,976,-214.933334,-126.666664,994.666687,32,?,?,?,?,?
88,'2018/02/15 14:31:06:383',7,0,1,-208,-128,992,-212.800003,-128,995.733337,32,?,?,?,?,?
89,'2018/02/15 14:31:06:487',7,0,1,-208,-128,992,-214.399994,-127.199997,996.266663,32,?,?,?,?,?
90,'2018/02/15 14:31:06:592',7,0,1,-224,-112,1008,-211.46666,-127.466667,995.200012,32,?,?,?,?,?
91,'2018/02/15 14:31:06:697',7,0,1,-208,-128,992,-212.53334,-126.400002,995.466675,32,?,?,?,?,?
92,'2018/02/15 14:31:06:801',7,0,1,-224,-128,992,-212.53334,-125.333336,996.533325,32,?,?,?,?,?
93,'2018/02/15 14:31:06:905',7,0,1,-208,-128,992,-214.666672,-124.533333,996,32,?,?,?,?,?
94,'2018/02/15 14:31:07:009',7,0,1,-208,-128,992,-214.933334,-125.333336,996,32,?,?,?,?,?
95,'2018/02/15 14:31:07:114',7,0,1,-208,-128,976,-216,-125.333336,995.200012,32,?,?,?,?,?
96,'2018/02/15 14:31:07:219',7,0,1,-208,-128,1008,-215.199997,-126.400002,996.533325,32,?,?,?,?,?
97,'2018/02/15 14:31:07:323',7,0,1,-224,-112,992,-212.266663,-123.466667,996.799988,32,?,?,?,?,?
98,'2018/02/15 14:31:07:427',7,0,1,-208,-128,992,-211.199997,-124.533333,996,16,?,?,?,?,?
99,'2018/02/15 14:31:07:532',7,0,1,-208,-128,1008,-210.399994,-124.533333,996.533325,16,?,?,?,?,?
100,'2018/02/15 14:31:07:636',7,0,1,-208,-128,992,-211.199997,-124.26667,994.400024,16,?,?,?,?,?
101,'2018/02/15 14:31:07:741',7,0,1,-208,-128,992,-211.46666,-125.866669,992.799988,16,?,?,?,?,?
102,'2018/02/15 14:31:48:805',8,0,0,-112,-160,1008,-116,-158.399994,1014.133362,32,?,1,?,?,?
103,'2018/02/15 14:31:48:910',8,0,0,-128,-160,1008,-113.866669,-157.066666,1013.866638,32,?,1,?,?,?
104,'2018/02/15 14:31:49:014',8,0,0,-112,-160,1008,-116,-154.399994,1013.866638,32,?,1,?,?,?
105,'2018/02/15 14:31:49:118',8,0,0,-96,-160,1024,-113.066666,-151.46666,1014.666687,32,?,1,?,?,?
106,'2018/02/15 14:31:49:223',8,0,0,-128,-144,1008,-110.933334,-152.266663,1016.533325,32,?,1,?,?,?
107,'2018/02/15 14:31:49:328',8,0,0,-112,-144,1024,-113.066666,-152.53334,1014.133362,16,?,1,?,?,?
108,'2018/02/15 14:31:49:431',8,0,0,-96,-160,1008,-110.666664,-153.066666,1017.599976,16,?,1,?,?,?
109,'2018/02/15 14:31:49:536',8,0,0,-112,-144,1008,-116,-153.866669,1013.06665,16,?,1,?,?,?
110,'2018/02/15 14:31:49:640',8,0,0,-112,-160,1008,-116,-153.600006,1014.93335,16,?,1,?,?,?
111,'2018/02/15 14:31:52:044',9,0,1,-96,-128,1008,-115.199997,-123.73333,1022.400024,48,?,2,?,?,?
112,'2018/02/15 14:31:52:148',9,0,1,-112,-128,1024,-111.199997,-121.866669,1022.93335,48,?,2,?,?,?
113,'2018/02/15 14:31:52:252',9,0,1,-112,-112,1024,-109.599998,-121.066666,1024,48,?,2,?,?,?
114,'2018/02/15 14:31:52:357',9,0,1,-128,-112,1008,-107.199997,-123.466667,1018.133362,32,?,2,?,?,?
115,'2018/02/15 14:31:52:461',9,0,1,-96,-128,1024,-109.599998,-121.866669,1017.866638,16,?,2,?,?,?
116,'2018/02/15 14:31:52:566',9,0,1,-112,-112,1008,-108,-117.066666,1014.93335,32,?,2,?,?,?
117,'2018/02/15 14:31:52:671',9,0,1,-32,-144,1008,-95.466667,-120.26667,1016.533325,48,?,2,?,?,?
118,'2018/02/15 14:31:52:775',9,0,1,-96,-96,1024,-86.133331,-117.866669,1021.866638,48,?,2,?,?,?
